구분,문항 번호,질문 내용,변수명
개인,Q1-1,성별은 무엇입니까?,p01sex
개인,Q1-2,생년은 어떻게 되십니까?,p01birthy
개인,Q1-3,현재 배우자가 있으십니까?,p01marsta
개인,Q1-4,귀하의 최종 학력은?,p01educlv
개인,Q1-5,졸업하신 학교는 어디입니까?,p01edusch
개인,Q1-6,현재의 직업은 무엇입니까?,p01job
개인,Q1-7,근로 형태는 어떠합니까?,p01wrktyp
개인,Q1-8,현재 직장의 근속 연수는?,p01wrkyear
개인,Q1-9,직장에서의 월 소득은?,p01income
개인,Q1-10,직무 만족도는 어떠합니까?,p01jobsat
개인,Q2-1,주당 평균 근무시간은?,p02workhr
개인,Q2-2,고용형태는 무엇입니까?,p02empstat
개인,Q2-3,직장 규모는 얼마입니까?,p02co_size
개인,Q2-4,산업 분류는?,p02indust
개인,Q2-5,직무 유형은?,p02duties
개인,Q2-6,통근 수단은?,p02commut
가구,QH1-1,가구주 성별은?,h01sex
가구,QH1-2,가구주 연령은?,h01birthy
가구,QH1-3,가구주 교육수준은?,h01educlv
가구,QH2-1,가구 총소득은 얼마입니까?,h01famtot
가구,QH2-2,가구 총지출은 얼마입니까?,h01famexp
가구,QH2-3,주거형태는 무엇입니까?,h01house
가구,QH2-4,주택 소유 여부는?,h01houseow
가구,QH2-5,주택 규모는 얼마입니까?,h01houarea
가구,QH3-1,차량 보유 여부는?,h01carow
가구,QH3-2,차량 수는 몇 대입니까?,h01carcnt
가구,QH3-3,차량 연식은?,h01caryear
가구,QH4-1,가구 부채는 얼마입니까?,h01debt
가구,QH4-2,가구 자산은 얼마입니까?,h01asset
가구,QH4-3,가구 순자산은 얼마입니까?,h01netasset
